season,gameweek,date,home_team,away_team,status
2025-2026,38,2026-05-24,Sunderland AFC,Chelsea FC,TIMED
2025-2026,38,2026-05-24,Brighton & Hove Albion FC,Manchester United FC,TIMED
2025-2026,38,2026-05-24,Crystal Palace FC,Arsenal FC,TIMED
2025-2026,38,2026-05-24,Burnley FC,Wolverhampton Wanderers FC,TIMED
2025-2026,38,2026-05-24,Fulham FC,Newcastle United FC,TIMED
2025-2026,38,2026-05-24,Liverpool FC,Brentford FC,TIMED
2025-2026,38,2026-05-24,Manchester City FC,Aston Villa FC,TIMED
2025-2026,38,2026-05-24,Nottingham Forest FC,AFC Bournemouth,TIMED
2025-2026,38,2026-05-24,Tottenham Hotspur FC,Everton FC,TIMED
2025-2026,38,2026-05-24,West Ham United FC,Leeds United FC,TIMED
